"RANK","REFEREE","ROLE","GENDER","EXPERIENCE (YEARS)","GAMES OFFICIATED","HOME TEAM WIN%","HOME TEAM POINTS DIFFERENTIAL","TOTAL POINTS PER GAME","CALLED FOULS PER GAME","FOUL% AGAINST ROAD TEAMS","FOUL% AGAINST HOME TEAMS","FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)"
"","Sean Corbin","CHIEF","MALE","31","17","0.529","2.5","233.5","37.1","0.509","0.49","0.7"
"","JB DeRosa","CHIEF","MALE","7","16","0.5","0.1","227.9","38.9","0.514","0.487","1.1"
"","Rodney Mott","CHIEF","MALE","29","16","0.5","-2.3","224.5","43.1","0.506","0.493","0.6"
"","Tony Brothers","CHIEF","MALE","30","15","0.6","5.1","231.3","39.3","0.502","0.499","0.1"
"","Marc Davis","CHIEF","MALE","25","15","0.533","2.4","230.7","37.6","0.514","0.486","1.1"
"","Bill Kennedy","CHIEF","MALE","29","15","0.533","-1.9","226.6","40.8","0.492","0.508","-0.7"
"","Mark Lindsay","CHIEF","MALE","17","12","0.667","4.7","240","43.1","0.528","0.472","2.4"
"","Michael Smith","CHIEF","MALE","31","12","0.5","3.3","231.5","38.7","0.497","0.502","-0.2"
"","Pat Fraher","CHIEF","MALE","29","12","0.333","0.8","222.8","39","0.462","0.538","-3"
"","Scott Foster","CHIEF","MALE","30","12","0.583","5.3","233.4","45.2","0.513","0.487","1.2"
"","Tom Washington","CHIEF","MALE","33","12","0.75","7","215.2","38.9","0.482","0.518","-1.4"
"","Curtis Blair","CHIEF","MALE","16","11","0.545","-0.7","231.1","43.8","0.513","0.488","1.1"
"","Zach Zarba","CHIEF","MALE","21","11","0.636","10.3","227.5","41.4","0.501","0.498","0.1"
"","Sean Wright","CHIEF","MALE","19","10","0.8","11.6","241","38.5","0.506","0.494","0.5"
"","Courtney Kirkland","CHIEF","MALE","25","10","0.6","3.2","224","33.7","0.507","0.493","0.5"
"","Eric Dalen","CHIEF","MALE","16","9","0.556","1.4","234.6","37.9","0.478","0.522","-1.7"
"","Brian Forte","CHIEF","MALE","18","9","0.667","2","224.9","41.3","0.541","0.46","3.3"
"","Derek Richardson","CHIEF","MALE","29","8","0.625","6","223.3","38.4","0.55","0.449","3.9"
"","Ben Taylor","CHIEF","MALE","12","7","0.571","5.6","225.9","41.7","0.497","0.504","-0.3"
"","James Capers","CHIEF","MALE","29","7","0.857","5.7","227.4","36","0.552","0.448","3.7"
"","Nick Buchert","CHIEF","MALE","14","7","0.143","-2.6","243.7","40.7","0.502","0.498","0.1"
"","Josh Tiven","CHIEF","MALE","15","6","0.167","-5.5","228.8","36.3","0.505","0.496","0.3"
"","Scott Wall","CHIEF","MALE","29","6","0.5","-1.3","237.7","39.8","0.536","0.465","2.8"
"","Ed Malloy","CHIEF","MALE","22","6","0.833","10","218","37.3","0.469","0.532","-2.3"
"","Matt Boland","CHIEF","MALE","25","6","1","18.2","225.5","40.7","0.512","0.487","1"
"","Brett Nansel","CHIEF","MALE","10","5","0.8","5.2","222.4","40","0.5","0.5","0"
"","David Guthrie","CHIEF","MALE","19","5","0.2","-6.2","241","42","0.514","0.486","1.2"
"","Kevin Cutler","CHIEF","MALE","15","5","0.6","2","222","39.4","0.503","0.497","0.2"
